,28xeuclidean,28xcosine,id
10,"[15.65392017 14.32787037 16.50275803 13.04257393 12.95167923 15.39037323
 14.96509838 15.05360222 15.3286171  13.35861778 12.60644054 15.01217651
 13.06842422 14.77938461 11.35801411 10.69795227 12.13510609 14.1616087
 13.64360237 15.15904808 15.16497326 13.2896452  12.02925205 10.5843811
 11.65955353 13.6173048  13.94297218 12.57150841]","[0.39035675 0.4087407  0.38773969 0.46567127 0.55110818 0.15940642
 0.37165204 0.33274832 0.46567127 0.42132252 0.56728631 0.18530881
 0.51426142 0.43952835 0.46183392 0.62947512 0.31702381 0.30647722
 0.49469492 0.44322297 0.31097218 0.56233686 0.4709976  0.34117013
 0.46151543 0.24492143 0.38861257 0.30646566]",3d16rucc
11,"[11.74257565 13.46781063 14.27096176 12.83110428 15.85860252 12.92355919
 13.46740532 13.25882721 13.8883028  12.3578825  16.34342003 13.73845577
 13.59338856 15.31074429 14.69410992 16.06688499 13.7650528  13.50952339
 13.88980579 16.17935562 14.77908897 14.52793026 14.55659294 13.29683399
 14.38638878 15.31712627 16.26063347 15.11144257]","[ 0.30066392  0.22079538  0.15224905  0.21966526  0.06739423  0.19824724
  0.09997739  0.27310047  0.22724581  0.30625677  0.04085522  0.13193253
  0.12339709  0.1719176   0.15201122  0.17544954  0.24891523  0.2579411
  0.26551899  0.18335629  0.15959495  0.16744442  0.27904204  0.23444265
  0.07750693  0.19270608  0.06585773 -0.0296613 ]",41wqsfkx
12,"[13.52022266 14.4169693  15.31827164 14.37680054 13.02332115 13.48867702
 13.21318626 14.55612469 13.87654495 13.15314674 13.76582813 14.41037846
 14.9667263  14.61179066 13.93857574 13.03504944 13.39836216 14.00118828
 13.71814632 13.1985817  12.62166023 14.74574757 12.47973061 11.88470173
 13.62683201 12.63974762 14.32624054 14.01878643]","[0.59844512 0.40677366 0.44109797 0.50848436 0.55626619 0.49822694
 0.57515097 0.46002227 0.57735068 0.62104326 0.550749   0.48411807
 0.49878484 0.39119798 0.44949633 0.44616032 0.36550343 0.42550448
 0.55312526 0.54490411 0.56347805 0.47161615 0.59456074 0.61567634
 0.54956067 0.49821705 0.44869652 0.44181561]",48xdti2f
13,"[15.97410011 13.21349716 15.67481899 14.57874966 13.77548218 13.49125195
 13.45099735 16.17582321 17.42358398 14.12511158 15.55531597 16.84841537
 15.05551052 15.42974663 15.51924133 12.78255177 13.778409   14.94983101
 16.37823677 14.36956978 12.83269787 14.06805229 13.60603905 14.39336395
 12.05209064 12.4793272  13.18506718 13.86988354]","[0.46511987 0.57134414 0.37154791 0.54118907 0.52359259 0.49716625
 0.54375154 0.47143182 0.3669337  0.63168758 0.50454676 0.37477487
 0.53523606 0.42229176 0.49849781 0.61021763 0.50675541 0.46460366
 0.42366678 0.48822305 0.55244172 0.50734335 0.61017871 0.53386343
 0.69505715 0.58605033 0.57479882 0.48490453]",4mouw0mq
14,"[11.7719574  15.53534508 15.43295288 16.46659088 12.4612875  15.3666687
 14.48416519 13.88296318 13.76783752 15.53890038 12.18840408 14.14354801
 13.53869247 14.31552315 16.99922562 15.03342056 13.85422802 16.42409706
 16.21199608 14.16243649 12.39174557 15.05215263 16.15630531 15.70749283
 15.33703613 14.31236267 13.98138618 14.27284336]","[0.70963979 0.48705053 0.46461052 0.40398952 0.6742453  0.449586
 0.50925815 0.58025569 0.56275392 0.45555547 0.68073946 0.5210371
 0.55907005 0.51889473 0.33780238 0.50718164 0.5320707  0.33514261
 0.35737672 0.53649729 0.59658355 0.39956108 0.41055587 0.3703979
 0.39536339 0.50859904 0.52842975 0.43303397]",54vylc3h
15,"[16.49429131 15.78615856 16.37719345 16.26728058 15.45512867 16.99536514
 16.66293335 16.73928261 15.63769722 16.21183777 15.27733612 16.2497921
 15.78801727 16.75584412 17.99593353 16.852911   17.54482079 18.17626953
 16.63888359 15.42771339  9.15080357 15.59561062 12.39192677 17.53358078
 14.81802082 15.85913658 14.17835045 15.65311623]","[0.44651702 0.47073212 0.45020241 0.47196317 0.49371326 0.45136487
 0.44644901 0.39227185 0.48895407 0.46583068 0.4949345  0.49011686
 0.49386403 0.38589251 0.31224477 0.35469881 0.38088802 0.29901907
 0.43303227 0.48051026 0.83910519 0.50240695 0.67559689 0.41648996
 0.56264615 0.49615237 0.57511228 0.53553164]",58ysvi8n
16,"[17.74916267 16.10929298 15.26950455 13.77027225 17.05263519 14.82682133
 16.36548233 17.25946999 16.57157707 16.68576622 14.64896965 15.31301594
 14.38317394 15.37307262 16.7770977  16.82759094 15.27088547 15.47621441
 15.23724079 13.76120472 12.90498638 14.04968357 16.42396736 15.16921139
 17.37306213 12.73455906 15.22394371 14.58947086]","[0.40814775 0.48760402 0.48861375 0.62866575 0.42104715 0.53324449
 0.40637767 0.41829836 0.40331504 0.46059582 0.57809883 0.50824535
 0.55214459 0.45294935 0.42505386 0.41152757 0.47888252 0.44151562
 0.46847567 0.55832762 0.5728488  0.46509564 0.44424275 0.4909929
 0.30086532 0.63484025 0.45381999 0.4491708 ]",5cx8xebo
17,"[16.36702156 15.13229942 15.11328506 14.1041832  15.5536356  14.82765961
 14.34634304 14.80223179 14.06216145 16.33981133 14.53897476 16.95288467
 13.78389263 13.67972088 13.57836819 14.357131   14.55191517 14.45919323
 14.16175747 14.05707169 14.29905891 12.75205231 14.33697128 14.36466408
 14.57095718 14.70635796 13.37503529 15.55205536]","[0.44706738 0.4917081  0.40296638 0.54916143 0.45801219 0.5076828
 0.53568578 0.52772146 0.50937349 0.41175485 0.54061347 0.37424454
 0.58462006 0.47961429 0.55907029 0.51372647 0.50055242 0.50264633
 0.42106941 0.44110605 0.42111421 0.53806341 0.50319517 0.50139052
 0.48231971 0.48465756 0.56999224 0.41873881]",5h8yu58t
18,"[14.22081566 16.49979973 16.24210167 16.16848183 16.82336998 14.90798187
 13.46142292 14.55687523 14.60563469 14.65563488 15.72109318 14.90049744
 12.77982235 16.01874733 16.85538292 16.78077698 15.8530817  15.97015095
 15.36428928 16.53481102 14.62807369 15.16206551 15.20635414 16.96051979
 13.80878353 14.14111233 15.71009636 14.47617912]","[0.33618963 0.2870667  0.28223664 0.3464587  0.17770223 0.26678184
 0.41223305 0.39790782 0.36487213 0.4225885  0.20305687 0.17030232
 0.4005869  0.37378666 0.35482964 0.27305049 0.27856299 0.27693421
 0.44749808 0.26733214 0.36059839 0.32076874 0.430664   0.21198718
 0.49498701 0.35430351 0.21295208 0.22715944]",61zty2sn
19,"[15.20211601 13.46775341 15.1586647  14.78574657 14.69890881 14.52437687
 12.91930199 15.02094555 14.38875484 14.7391634  13.67265129 15.74034214
 14.2461338  15.72031021 14.36812782 11.87924576 12.75716496 14.5601368
 14.27386951 14.05799103 13.6391325  13.80642796 12.68986988 14.53519917
 12.80651283 12.52984905 13.90902615 15.26904106]","[0.49005464 0.55829591 0.50462538 0.55562806 0.5033679  0.4988662
 0.62715858 0.44094691 0.54889852 0.55428982 0.56515044 0.40309536
 0.54132253 0.40425512 0.5396533  0.63290757 0.55739123 0.4667874
 0.59031034 0.55210882 0.56520605 0.57967144 0.65985423 0.53895235
 0.66092211 0.60333294 0.54360169 0.43017501]",66waiorf
