,28xeuclidean,28xcosine,id
24,"[0.11513252 0.27390561 0.03226931 0.24296597 0.38191245 0.01332537
 0.30819503 0.15877309 0.08286321 0.12783346 0.26677993 0.12845788
 0.19306251 0.24163631 0.03093964 0.10800683 0.28723098 0.03428942
 0.21069667 0.34964314 0.04559467 0.27592573 0.13894647 0.25629134
 0.06522906 0.39523781 0.07371742 0.3215204 ]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",8umrg2hn
25,"[0.48515205 0.53076942 0.37088528 0.5062788  0.52807872 0.60734977
 0.31450093 0.04561737 0.11426677 0.02112675 0.04292667 0.12219772
 0.17065112 0.15988414 0.02449062 0.0026907  0.07658035 0.21626849
 0.13539352 0.15719344 0.23646449 0.05638435 0.02179992 0.10107097
 0.19177787 0.07927105 0.21357779 0.29284884]","[-1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",alz0juf7
26,"[0.49688061 0.22353348 0.59254014 0.24494109 0.03738891 0.1793234
 1.05977812 0.72041409 0.09565954 0.74182169 0.4594917  0.31755721
 0.56289752 0.81607363 0.0214076  0.26092239 0.40285688 1.28331161
 0.83748123 0.55515124 0.41321675 0.46723798 0.28232999 0.42426448
 1.30471921 0.14193449 1.02238922 0.88045473]","[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.
 -1. -1. -1.  1.  1.  1. -1.  1. -1. -1.]",amsa7f0i
27,"[0.3742907  0.25368333 0.09681502 0.14402774 0.15465602 0.11125022
 0.07587159 0.62797403 0.47110572 0.51831844 0.52894673 0.48554093
 0.45016229 0.15686831 0.10965559 0.09902731 0.14243311 0.17781174
 0.04721272 0.057841   0.0144352  0.02094343 0.01062828 0.03277752
 0.06815615 0.0434058  0.07878444 0.03537863]","[-1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",bevvi2bc
28,"[0.06400221 0.33129197 0.01699275 0.06342643 0.07936581 0.1872843
 0.33653023 0.26728976 0.08099496 0.12742864 0.14336802 0.25128651
 0.27252802 0.34828471 0.39471839 0.41065778 0.51857626 0.00523826
 0.04643368 0.06237306 0.17029155 0.35352298 0.01593938 0.12385787
 0.39995666 0.10791849 0.41589604 0.52381453]","[ 1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",bhktja3b
29,"[0.30103098 0.4342977  0.25078224 0.68043786 0.20443571 0.21882518
 0.15575027 0.13326672 0.05024874 0.37940688 0.09659527 0.0822058
 0.1452807  0.18351547 0.24614016 0.229862   0.21547253 0.27854743
 0.42965563 0.04634653 0.03195706 0.09503196 0.47600216 0.46161269
 0.52468759 0.01438947 0.04868543 0.0630749 ]","[ 1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1. -1.
 -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.]",blrmwyxk
30,"[0.42488563 0.05788177 0.014576   0.17310383 0.41221972 0.19664246
 0.13605545 0.4827674  0.41030963 0.2517818  0.01266591 0.62152809
 0.28883018 0.07245778 0.2309856  0.47010149 0.13876069 0.19393723
 0.15852783 0.39764372 0.21121846 0.12147945 0.23911589 0.36974629
 0.03704838 0.60886218 0.27616426 0.33269791]","[-1.  1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1.  1.
  1. -1.  1.  1. -1.  1.  1. -1. -1.  1.]",c5l9xs7r
31,"[0.08594066 0.12514973 0.37566918 0.08214226 0.31052214 0.31743499
 0.09489801 0.21109039 0.28972852 0.0037984  0.22458148 0.23149434
 0.00895736 0.50081891 0.20729199 0.43567187 0.44258472 0.22004774
 0.29352692 0.06514704 0.05823418 0.28077117 0.22837988 0.23529273
 0.01275575 0.00691286 0.21562412 0.22253698]","[ 1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",cbtnpa83
32,"[0.3351592  1.34757644 0.66005398 0.68452112 0.48803345 0.40539622
 0.66326158 1.01241724 0.32489479 0.34936193 0.15287425 0.07023702
 0.32810238 0.68752246 0.66305532 0.85954299 0.94218022 0.68431486
 0.02446714 0.17202054 0.25465777 0.00320759 0.19648768 0.27912491
 0.02125955 0.08263723 0.17522813 0.25786536]","[ 1. -1. -1. -1.  1.  1. -1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1.
  1. -1. -1.  1. -1. -1.  1.  1. -1. -1.]",cwpk6107
33,"[0.19608389 0.20652344 0.92724699 0.29261422 0.32736645 0.8710928
 0.64945117 0.01043955 0.7311631  0.48869811 0.13128256 0.67500891
 0.45336728 0.72072355 0.49913766 0.120843   0.66456936 0.44292773
 1.21986121 0.59988054 0.05615419 0.27779582 0.61998067 1.16370702
 0.94206539 0.54372635 0.32208472 0.22164163]","[ 1.  1. -1.  1. -1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1. -1.
 -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.]",d2c54dfk
