,28xeuclidean,28xcosine,id
20,"[1.30827389 1.32555859 1.33542259 1.36353093 1.25116653 1.35272138
 1.33723728 1.38190749 1.36714551 1.35607079 1.30953659 1.36612607
 1.35830902 1.37461744 1.35677093 1.34404519 1.37611956 1.38371894
 1.36790541 1.33766456 1.37318985 1.35388916 1.19756591 1.37209109
 1.29833054 1.3464977  1.28878988 1.32233521]","[0.14420971 0.12144722 0.10832326 0.0703917  0.21729116 0.08507244
 0.10589822 0.04516585 0.06545657 0.080536   0.14255695 0.06684979
 0.07749831 0.05521344 0.07958632 0.09677127 0.05314747 0.04266095
 0.06441739 0.10532677 0.05717482 0.08349207 0.28291794 0.05868302
 0.1571689  0.09347197 0.16951032 0.1257148 ]",751xgntu
21,"[1.29173265 1.22933043 1.37073992 1.35213268 1.30635195 1.27304304
 1.35161763 1.27678784 1.33922232 1.38210254 1.20393173 1.29290079
 1.39349547 1.38007758 1.40884782 1.32022167 1.33508726 1.34058529
 1.35667012 1.37908379 1.35032122 1.38619511 1.35930111 1.40499543
 1.38918837 1.28826606 1.33504977 1.33619454]","[0.16571339 0.24437334 0.06053604 0.08586861 0.14672228 0.18968071
 0.0865649  0.18490641 0.10324178 0.04489629 0.2752742  0.16420377
 0.02908519 0.04769294 0.00757391 0.12850738 0.108771   0.10141554
 0.07972309 0.04906395 0.0883163  0.03923156 0.07615024 0.01299392
 0.03507784 0.17018528 0.10882106 0.10729208]",8a1uneuz
22,"[0.         1.34329079 1.34329079 1.35381373 1.35381373 1.36498535
 1.36498535 1.34329079 1.34329079 1.35381373 1.35381373 1.36498535
 1.36498535 0.         1.2732745  1.2732745  1.32559993 1.32559993
 1.2732745  1.2732745  1.32559993 1.32559993 0.         1.33375613
 1.33375613 1.33375613 1.33375613 0.        ]","[1.         0.09778493 0.09778493 0.0835942  0.0835942  0.0684075
 0.0684075  0.09778493 0.09778493 0.0835942  0.0835942  0.0684075
 0.0684075  1.         0.18938603 0.18938603 0.12139241 0.12139241
 0.18938603 0.18938603 0.12139241 0.12139241 1.         0.11054729
 0.11054729 0.11054729 0.11054729 1.        ]",8kfkpopv
23,"[0.         1.24807233 1.24807233 1.23193571 1.23193571 1.27363429
 1.27363429 1.24807233 1.24807233 1.23193571 1.23193571 1.27363429
 1.27363429 0.         1.22859583 1.22859583 1.33675736 1.33675736
 1.22859583 1.22859583 1.33675736 1.33675736 0.         1.28741627
 1.28741627 1.28741627 1.28741627 0.        ]","[1.         0.22115774 0.22115774 0.24116721 0.24116721 0.18892785
 0.18892785 0.22115774 0.22115774 0.24116721 0.24116721 0.18892785
 0.18892785 1.         0.24527614 0.24527614 0.10653988 0.10653988
 0.24527614 0.24527614 0.10653988 0.10653988 1.         0.17127967
 0.17127967 0.17127967 0.17127967 1.        ]",8kfkpopv
24,"[1.29790048 1.21860481 1.30397701 1.32077876 1.38699441 1.31551845
 1.31291199 1.25556322 1.20824695 1.29970892 1.30448434 1.25597093
 1.31859155 1.33689607 1.299672   1.38819778 1.32613052 1.35319961
 1.31842528 1.34620615 1.31878454 1.32947375 1.3809263  1.35049947
 1.34427703 1.33796495 1.33458034 1.28471902]","[0.15772717 0.25750116 0.14982198 0.12777174 0.03812326 0.13470561
 0.13813106 0.2117805  0.27006965 0.15537836 0.1491603  0.21126852
 0.13065816 0.10635445 0.15542635 0.03645347 0.12068892 0.08442541
 0.13087739 0.0938645  0.13040367 0.11624977 0.04652128 0.08807559
 0.09645964 0.1049249  0.10944766 0.17474852]",8umrg2hn
25,"[1.30213509 1.3493588  1.32462687 1.30136026 1.29782481 1.34451421
 1.34938181 1.32780495 1.2979023  1.29342674 1.23225686 1.29789782
 1.26482491 1.2975862  1.30772643 1.32633033 1.31359639 1.33479559
 1.2568168  1.2442276  1.25338616 1.2948718  1.25255444 1.26843898
 1.23441616 1.2649984  1.18835461 1.3097385 ]","[0.1522221  0.08961541 0.12268183 0.15323074 0.15782538 0.09614076
 0.08958436 0.11846701 0.15772481 0.16352363 0.24077151 0.15773063
 0.20010897 0.15813503 0.14492579 0.12042392 0.13723226 0.10916036
 0.21020577 0.22594883 0.21451157 0.16165352 0.21555369 0.19553128
 0.23810838 0.19988952 0.29390666 0.14229253]",alz0juf7
26,"[1.3623453  1.30257668 1.41421356 1.36862533 1.41421356 1.41421356
 1.41421356 1.39241635 1.27798432 1.35665269 1.31685866 1.41421356
 1.41421356 1.35794307 1.37975927 1.39653509 1.41421356 1.3797799
 1.35908941 1.38603336 1.41421356 1.28141737 1.35747079 1.41421356
 1.36871387 1.41421356 1.41421356 1.41421356]","[0.07200764 0.151647   0.         0.06343236 0.         0.
 0.         0.03058836 0.18337803 0.07974674 0.13294164 0.
 0.         0.07799532 0.04813218 0.02484487 0.         0.04810372
 0.07643799 0.03945576 0.         0.17898476 0.07863652 0.
 0.06331117 0.         0.         0.        ]",amsa7f0i
27,"[1.21279849 1.21799693 1.22196348 1.21830102 1.28650953 1.19758333
 1.2615288  1.19017265 1.2863401  1.29113711 1.25358743 1.23707777
 1.30601244 1.23355197 1.33902288 1.31722313 1.3173754  1.36369292
 1.22425395 1.27023103 1.25714895 1.27329539 1.29008086 1.2734698
 1.21056547 1.21196961 1.28509831 1.27479172]","[0.26455991 0.25824174 0.25340262 0.25787132 0.17244661 0.28289708
 0.20427254 0.29174453 0.17266458 0.16648248 0.21425927 0.2348193
 0.14716575 0.23917477 0.10350887 0.13246161 0.13226103 0.07017081
 0.25060114 0.19325656 0.20978826 0.18935943 0.16784569 0.18913734
 0.26726562 0.26556483 0.17426117 0.18745303]",bevvi2bc
28,"[1.30268397 1.23987284 1.28054283 1.24164883 1.20669878 1.3065294
 1.35053756 1.2308315  1.30749049 1.28076895 1.27082714 1.27124276
 1.24823971 1.32756281 1.23722603 1.25675563 1.37746287 1.31469973
 1.25473283 1.26479598 1.35744434 1.32893333 1.28962277 1.24287069
 1.37706609 1.18547616 1.34477605 1.31518002]","[0.15150723 0.23135767 0.18010504 0.22915409 0.27193903 0.14649046
 0.08802414 0.24252691 0.14523431 0.17981545 0.19249919 0.19197093
 0.22094881 0.11878849 0.23463587 0.21028265 0.05129803 0.13578231
 0.21282277 0.20014557 0.07867243 0.11696811 0.16843656 0.22763622
 0.0518445  0.29732314 0.09578869 0.13515076]",bhktja3b
29,"[1.25688859 1.39921177 1.38879185 1.34880993 1.32907622 1.34816996
 1.32895474 1.3918236  1.41421356 1.31060925 1.38328001 1.30049564
 1.28564676 1.41421356 1.33973298 1.3941985  1.39495888 1.36174457
 1.38260838 1.38025345 1.39050775 1.36323999 1.35630082 1.38408501
 1.25172949 1.30210775 1.32482305 1.37755059]","[0.21011553 0.02110321 0.0356286  0.09035589 0.1167782  0.09121887
 0.11693965 0.03141353 0.         0.14115169 0.04326821 0.15435555
 0.1735562  0.         0.10255777 0.02810527 0.02704486 0.07282586
 0.04419703 0.04745021 0.03324411 0.07078837 0.08022404 0.04215434
 0.21658664 0.1522577  0.12242194 0.05117718]",blrmwyxk
